Task
Category Name: unknown, Category ID: 1, Total Instances: 206481
Task
Category Name: person, Category ID: 14, Total Instances: 4134
Category Name: bicycle, Category ID: 1, Total Instances: 119
Category Name: car, Category ID: 6, Total Instances: 787
Category Name: motorcycle, Category ID: 13, Total Instances: 48
Category Name: airplane, Category ID: 0, Total Instances: 28
Category Name: bus, Category ID: 5, Total Instances: 86
Category Name: train, Category ID: 18, Total Instances: 36
Category Name: truck, Category ID: 20, Total Instances: 0
Category Name: boat, Category ID: 3, Total Instances: 67
Category Name: traffic light, Category ID: 21, Total Instances: 0
Category Name: fire hydrant, Category ID: 22, Total Instances: 0
Category Name: stop sign, Category ID: 23, Total Instances: 0
Category Name: parking meter, Category ID: 24, Total Instances: 0
Category Name: bench, Category ID: 25, Total Instances: 0
Category Name: bird, Category ID: 2, Total Instances: 71
Category Name: cat, Category ID: 7, Total Instances: 38
Category Name: dog, Category ID: 11, Total Instances: 73
Category Name: horse, Category ID: 12, Total Instances: 20
Category Name: sheep, Category ID: 16, Total Instances: 12
Category Name: cow, Category ID: 9, Total Instances: 33
Category Name: elephant, Category ID: 26, Total Instances: 0
Category Name: bear, Category ID: 27, Total Instances: 0
Category Name: zebra, Category ID: 28, Total Instances: 0
Category Name: giraffe, Category ID: 29, Total Instances: 0
Category Name: backpack, Category ID: 30, Total Instances: 0
Category Name: umbrella, Category ID: 31, Total Instances: 0
Category Name: handbag, Category ID: 32, Total Instances: 0
Category Name: tie, Category ID: 33, Total Instances: 0
Category Name: suitcase, Category ID: 34, Total Instances: 0
Category Name: frisbee, Category ID: 40, Total Instances: 0
Category Name: skis, Category ID: 41, Total Instances: 0
Category Name: snowboard, Category ID: 42, Total Instances: 0
Category Name: sports ball, Category ID: 43, Total Instances: 0
Category Name: kite, Category ID: 44, Total Instances: 0
Category Name: baseball bat, Category ID: 45, Total Instances: 0
Category Name: baseball glove, Category ID: 46, Total Instances: 0
Category Name: skateboard, Category ID: 47, Total Instances: 0
Category Name: surfboard, Category ID: 48, Total Instances: 0
Category Name: tennis racket, Category ID: 49, Total Instances: 0
Category Name: bottle, Category ID: 4, Total Instances: 350
Category Name: wine glass, Category ID: 74, Total Instances: 0
Category Name: cup, Category ID: 75, Total Instances: 0
Category Name: fork, Category ID: 76, Total Instances: 0
Category Name: knife, Category ID: 77, Total Instances: 0
Category Name: spoon, Category ID: 78, Total Instances: 0
Category Name: bowl, Category ID: 79, Total Instances: 0
Category Name: banana, Category ID: 50, Total Instances: 0
Category Name: apple, Category ID: 51, Total Instances: 0
Category Name: sandwich, Category ID: 52, Total Instances: 0
Category Name: orange, Category ID: 53, Total Instances: 0
Category Name: broccoli, Category ID: 54, Total Instances: 0
Category Name: carrot, Category ID: 55, Total Instances: 0
Category Name: hot dog, Category ID: 56, Total Instances: 0
Category Name: pizza, Category ID: 57, Total Instances: 0
Category Name: donut, Category ID: 58, Total Instances: 0
Category Name: cake, Category ID: 59, Total Instances: 0
Category Name: chair, Category ID: 8, Total Instances: 656
Category Name: couch, Category ID: 17, Total Instances: 96
Category Name: potted plant, Category ID: 15, Total Instances: 127
Category Name: bed, Category ID: 60, Total Instances: 0
Category Name: dining table, Category ID: 10, Total Instances: 181
Category Name: toilet, Category ID: 61, Total Instances: 0
Category Name: tv, Category ID: 19, Total Instances: 77
Category Name: laptop, Category ID: 62, Total Instances: 0
Category Name: mouse, Category ID: 63, Total Instances: 0
Category Name: remote, Category ID: 64, Total Instances: 0
Category Name: keyboard, Category ID: 65, Total Instances: 0
Category Name: cell phone, Category ID: 66, Total Instances: 0
Category Name: microwave, Category ID: 35, Total Instances: 0
Category Name: oven, Category ID: 36, Total Instances: 0
Category Name: toaster, Category ID: 37, Total Instances: 0
Category Name: sink, Category ID: 38, Total Instances: 0
Category Name: refrigerator, Category ID: 39, Total Instances: 0
Category Name: book, Category ID: 67, Total Instances: 0
Category Name: clock, Category ID: 68, Total Instances: 0
Category Name: vase, Category ID: 69, Total Instances: 0
Category Name: scissors, Category ID: 70, Total Instances: 0
Category Name: teddy bear, Category ID: 71, Total Instances: 0
Category Name: hair drier, Category ID: 72, Total Instances: 0
Category Name: toothbrush, Category ID: 73, Total Instances: 0
Category Name: unknown, Category ID: 80, Total Instances: 2792
Task
Category Name: person, Category ID: 14, Total Instances: 136840
Category Name: bicycle, Category ID: 1, Total Instances: 5179
Category Name: car, Category ID: 6, Total Instances: 27223
Category Name: motorcycle, Category ID: 13, Total Instances: 7743
Category Name: airplane, Category ID: 0, Total Instances: 4179
Category Name: bus, Category ID: 5, Total Instances: 4529
Category Name: train, Category ID: 18, Total Instances: 3512
Category Name: truck, Category ID: 20, Total Instances: 0
Category Name: boat, Category ID: 3, Total Instances: 9537
Category Name: traffic light, Category ID: 21, Total Instances: 0
Category Name: fire hydrant, Category ID: 22, Total Instances: 0
Category Name: stop sign, Category ID: 23, Total Instances: 0
Category Name: parking meter, Category ID: 24, Total Instances: 0
Category Name: bench, Category ID: 25, Total Instances: 0
Category Name: bird, Category ID: 2, Total Instances: 9300
Category Name: cat, Category ID: 7, Total Instances: 2082
Category Name: dog, Category ID: 11, Total Instances: 3177
Category Name: horse, Category ID: 12, Total Instances: 6117
Category Name: sheep, Category ID: 16, Total Instances: 9359
Category Name: cow, Category ID: 9, Total Instances: 7892
Category Name: elephant, Category ID: 26, Total Instances: 0
Category Name: bear, Category ID: 27, Total Instances: 0
Category Name: zebra, Category ID: 28, Total Instances: 0
Category Name: giraffe, Category ID: 29, Total Instances: 0
Category Name: backpack, Category ID: 30, Total Instances: 0
Category Name: umbrella, Category ID: 31, Total Instances: 0
Category Name: handbag, Category ID: 32, Total Instances: 0
Category Name: tie, Category ID: 33, Total Instances: 0
Category Name: suitcase, Category ID: 34, Total Instances: 0
Category Name: frisbee, Category ID: 40, Total Instances: 0
Category Name: skis, Category ID: 41, Total Instances: 0
Category Name: snowboard, Category ID: 42, Total Instances: 0
Category Name: sports ball, Category ID: 43, Total Instances: 0
Category Name: kite, Category ID: 44, Total Instances: 0
Category Name: baseball bat, Category ID: 45, Total Instances: 0
Category Name: baseball glove, Category ID: 46, Total Instances: 0
Category Name: skateboard, Category ID: 47, Total Instances: 0
Category Name: surfboard, Category ID: 48, Total Instances: 0
Category Name: tennis racket, Category ID: 49, Total Instances: 0
Category Name: bottle, Category ID: 4, Total Instances: 8616
Category Name: wine glass, Category ID: 74, Total Instances: 0
Category Name: cup, Category ID: 75, Total Instances: 0
Category Name: fork, Category ID: 76, Total Instances: 0
Category Name: knife, Category ID: 77, Total Instances: 0
Category Name: spoon, Category ID: 78, Total Instances: 0
Category Name: bowl, Category ID: 79, Total Instances: 0
Category Name: banana, Category ID: 50, Total Instances: 0
Category Name: apple, Category ID: 51, Total Instances: 0
Category Name: sandwich, Category ID: 52, Total Instances: 0
Category Name: orange, Category ID: 53, Total Instances: 0
Category Name: broccoli, Category ID: 54, Total Instances: 0
Category Name: carrot, Category ID: 55, Total Instances: 0
Category Name: hot dog, Category ID: 56, Total Instances: 0
Category Name: pizza, Category ID: 57, Total Instances: 0
Category Name: donut, Category ID: 58, Total Instances: 0
Category Name: cake, Category ID: 59, Total Instances: 0
Category Name: chair, Category ID: 8, Total Instances: 21104
Category Name: couch, Category ID: 17, Total Instances: 2013
Category Name: potted plant, Category ID: 15, Total Instances: 4000
Category Name: bed, Category ID: 60, Total Instances: 0
Category Name: dining table, Category ID: 10, Total Instances: 4833
Category Name: toilet, Category ID: 61, Total Instances: 0
Category Name: tv, Category ID: 19, Total Instances: 1789
Category Name: laptop, Category ID: 62, Total Instances: 0
Category Name: mouse, Category ID: 63, Total Instances: 0
Category Name: remote, Category ID: 64, Total Instances: 0
Category Name: keyboard, Category ID: 65, Total Instances: 0
Category Name: cell phone, Category ID: 66, Total Instances: 0
Category Name: microwave, Category ID: 35, Total Instances: 0
Category Name: oven, Category ID: 36, Total Instances: 0
Category Name: toaster, Category ID: 37, Total Instances: 0
Category Name: sink, Category ID: 38, Total Instances: 0
Category Name: refrigerator, Category ID: 39, Total Instances: 0
Category Name: book, Category ID: 67, Total Instances: 0
Category Name: clock, Category ID: 68, Total Instances: 0
Category Name: vase, Category ID: 69, Total Instances: 0
Category Name: scissors, Category ID: 70, Total Instances: 0
Category Name: teddy bear, Category ID: 71, Total Instances: 0
Category Name: hair drier, Category ID: 72, Total Instances: 0
Category Name: toothbrush, Category ID: 73, Total Instances: 0
Task
